Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libltdl7 | GPL-2.0 | NA | True | NA
erlang-asn1 | Erlang Public License v1.1 | NA | True | NA
erlang-inets | Erlang Public License v1.1 | NA | True | NA
erlang-snmp | Erlang Public License v1.1 | NA | True | NA
libxext6 | ((MIT OR ISC OR MITNFA) AND GPL with exception) | NA | True | NA
libmnl0 | LGPL-2.1 | NA | True | NA
erlang-odbc | Erlang Public License v1.1 | NA | True | NA
cron | (MIT OR ISC OR MITNFA) | NA | True | NA
logrotate | GPL-2.0 | NA | True | NA
rsync | GPL-3.0 | NA | True | NA
libfakeroot | GPL-2.0 | NA | True | NA
libssl1.0.0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libperl5.22 | Artistic-1.0 | NA | True | NA
erlang-ic | Erlang Public License v1.1 | NA | True | NA
erlang-os-mon | Erlang Public License v1.1 | NA | True | NA
libodbc1 | LGPL-2.0 | NA | True | NA
openssh-client | ((BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) AND GPLV3) | NA | True | NA
erlang-syntax-tools | Erlang Public License v1.1 | NA | True | NA
rabbitmq-server | MPL-1.1 | NA | True | NA
erlang-ssl | Erlang Public License v1.1 | NA | True | NA
less | BSD Equivalent  | NA | True | NA
erlang-ssh | Erlang Public License v1.1 | NA | True | NA
perl | Artistic-1.0 | NA | True | NA
libldap-2.4-2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libgssapi-krb5-2 | (MIT OR ISC OR MITNFA) | NA | True | NA
dpkg-dev | GPL-3.0 | NA | True | NA
shared-mime-info | GPL-2.0 | NA | True | NA
libxau6 | (MIT OR ISC OR MITNFA) | NA | True | NA
netbase | GPL-2.0 | NA | True | NA
erlang-runtime-tools | Erlang Public License v1.1 | NA | True | NA
erlang-eunit | Erlang Public License v1.1 | NA | True | NA
erlang-tools | Erlang Public License v1.1 | NA | True | NA
erlang-percept | Erlang Public License v1.1 | NA | True | NA
erlang-parsetools | Erlang Public License v1.1 | NA | True | NA
ca-certificates | GPL-2.0 | NA | True | NA
erlang-public-key | Erlang Public License v1.1 | NA | True | NA
erlang-diameter | Erlang Public License v1.1 | NA | True | NA
erlang-corba | Erlang Public License v1.1 | NA | True | NA
erlang-xmerl | Erlang Public License v1.1 | NA | True | NA
erlang-nox | Erlang Public License v1.1 | NA | True | NA
erlang-eldap | Erlang Public License v1.1 | NA | True | NA
erlang-edoc | Erlang Public License v1.1 | NA | True | NA
libpopt0 | (MIT OR ISC OR MITNFA) | NA | True | NA
erlang-mnesia | Erlang Public License v1.1 | NA | True | NA
openssl | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
erlang-webtool | Erlang Public License v1.1 | NA | True | NA
fakeroot | GPL-2.0 | NA | True | NA
erlang-crypto | Erlang Public License v1.1 | NA | True | NA
erlang-erl-docgen | Erlang Public License v1.1 | NA | True | NA
iproute2 | GPL-2.0 | NA | True | NA
erlang-base | Erlang Public License v1.1 | NA | True | NA
pkg-config | LGPL-2.0 | NA | True | NA
libgdbm3 |	GPL-3+	|openhub.net|	NA|	https://www.openhub.net/p/libgdbm|
libglib2.0-0 |	GPL-2,LGPL-2	|NA|	part of glib|	NA|
libmpc3 |	LGPL-2.1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/m/mpclib3/mpclib3_1.0.3-1/copyright|
amqp |	LGPL-2.1	|NA|	NA|	NA|
ifupdown |	GPL-2+	|openhub.net|	NA|	https://www.openhub.net/p/ifupdown|
isc-dhcp-client |	ISC	|ubuntu.com|	dhcp shows up on NA as reviewed with license type MIT OR ISC OR MITNFA|	http://changelogs.ubuntu.com/changelogs/pool/main/i/isc-dhcp/isc-dhcp_4.3.3-5ubuntu12/copyright|
libatm1 |	BSD, GPL-2, LGPL-2	|Source Code|	The package can be distributed or modified under GPL-2, as per the COPYING file. However, different source components/parts of the source code are provided under different licenses. COPYING.GPL and COPYING.LGPL are part of the main source tree|	https://sourceforge.net/projects/linux-atm/|
libsasl2-modules |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
libsctp1 |	GPL-2.0+, LGPL-2.1+, BSD-3-clause	|ubuntu.com|	Different files are licensed differently. Example: Files: src/lib/* are under LGPL-2.1+ and so on|	http://changelogs.ubuntu.com/changelogs/pool/main/l/lksctp-tools/lksctp-tools_1.0.16+dfsg-3/copyright|
sgml-base |	GPL-2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/s/sgml-base/sgml-base_1.26+nmu4ubuntu1/copyright|
xdg-user-dirs |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/x/xdg-user-dirs/xdg-user-dirs_0.15-2ubuntu6/copyright|
xml-core |	GPL-2	|source code|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/x/xml-core/xml-core_0.13+nmu2/copyright|
