Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libssl1.0.0 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libmnl0 | LGPL-2.1 | NA | True | NA
libice6 | (MIT OR ISC OR MITNFA) | NA | True | NA
libfakeroot | GPL-2.0 | NA | True | NA
libperl5.22 | Artistic-1.0 | NA | True | NA
libldap-2.4-2 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
perl | Artistic-1.0 | NA | True | NA
netbase | GPL-2.0 | NA | True | NA
libxau6 | (MIT OR ISC OR MITNFA) | NA | True | NA
x11-common | (MIT OR ISC OR MITNFA) | NA | True | NA
libgssapi-krb5-2 | (MIT OR ISC OR MITNFA) | NA | True | NA
openssl | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
fakeroot | GPL-2.0 | NA | True | NA
iproute2 | GPL-2.0 | NA | True | NA
libgdbm3 |	GPL-3+	|openhub.net|	NA|	https://www.openhub.net/p/libgdbm|
libmpc3 |	LGPL-2.1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/m/mpclib3/mpclib3_1.0.3-1/copyright|
ifupdown |	GPL-2+	|openhub.net|	NA|	https://www.openhub.net/p/ifupdown|
isc-dhcp-client |	ISC	|ubuntu.com|	dhcp shows up on NA as reviewed with license type MIT OR ISC OR MITNFA|	http://changelogs.ubuntu.com/changelogs/pool/main/i/isc-dhcp/isc-dhcp_4.3.3-5ubuntu12/copyright|
libatm1 |	BSD, GPL-2, LGPL-2	|Source Code|	The package can be distributed or modified under GPL-2, as per the COPYING file. However, different source components/parts of the source code are provided under different licenses. COPYING.GPL and COPYING.LGPL are part of the main source tree|	https://sourceforge.net/projects/linux-atm/|
libsasl2-modules |	BSD Equivalent	|NA|	part of cyrus-sasl|	NA|
sgml-base |	GPL-2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/s/sgml-base/sgml-base_1.26+nmu4ubuntu1/copyright|
xdg-user-dirs |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/x/xdg-user-dirs/xdg-user-dirs_0.15-2ubuntu6/copyright|
xml-core |	GPL-2	|source code|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/x/xml-core/xml-core_0.13+nmu2/copyright|
xz-utils |	GPL-2, LGPL-2.1	|openhub.net|	NA|	http://git.tukaani.org/?p=xz.git;a=blob;f=COPYING|
certifi|MPL-2.0|Container | NA| NA
cffi|MIT|Container | NA| NA
chardet|LGPL|Container | NA| NA
conda| BSD|pypi.org | NA| NA
cryptography|BSD or Apache License|Container | NA| NA
docutils|public domain|Container | NA| NA
idna|BSD-like|Container | NA| NA
lockfile| MIT License|pypi.org | NA| NA
luigi| Apache Software License (Apache License 2.0)|pypi.org | NA| NA
mysql-connector-python| GNU General Public License (GPL) (GNU GPLv2 (with FOSS License Exception))|pypi.org | NA| NA
pip|MIT|Container | NA| NA
protobuf|3-Clause BSD License|Container | NA| NA
psycopg2| GNU Library or Lesser General Public License (LGPL) |  Zope Public License (LGPL with exceptions or ZPL)|pypi.org | NA| NA
pycosat| MIT|pypi.org | NA| NA
pycparser|BSD|Container | NA| NA
pyOpenSSL|APL2|Container | NA| NA
PySocks| BSD|pypi.org | NA| NA
python-daemon| Apache Software License (Apache-2)|pypi.org | NA| NA
requests|Apache 2.0|Container | NA| NA
ruamel-yaml| MIT License (MIT license)|pypi.org | NA| NA
setuptools| MIT License|pypi.org | NA| NA
six|MIT|Container | NA| NA
SQLAlchemy|MIT License|Container | NA| NA
tornado|http://www.apache.org/licenses/LICENSE-2.0|Container | NA| NA
urllib3|MIT|Container | NA| NA
wheel|MIT|Container | NA| NA
